City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Pisco,PE,2022-04-25 03:23:43,-13.7,-76.2167,67.01,88,100,4.61
88,Albany,US,2022-04-25 03:20:59,42.6001,-73.9662,54.73,55,51,5.01
89,Omboue,GA,2022-04-25 03:23:44,-1.5746,9.2618,77.25,91,99,3.47
90,Mackay,AU,2022-04-25 03:24:44,-21.15,149.2,74.68,88,100,21.85
91,Wanning,CN,2022-04-25 03:24:45,18.8003,110.3967,85.86,73,43,14.97
92,Maracana,BR,2022-04-25 03:24:45,-0.7667,-47.45,72.95,97,82,2.04
93,Vanimo,PG,2022-04-25 03:24:46,-2.6741,141.3028,85.15,68,100,5.99
94,Hasaki,JP,2022-04-25 03:24:47,35.7333,140.8333,81.28,69,30,6.08
95,Ostrovnoy,RU,2022-04-25 03:24:47,68.0531,39.5131,33.82,96,99,8.23
96,Ponta Do Sol,PT,2022-04-25 03:24:48,32.6667,-17.1,64.0,86,100,11.12
97,Aksu,CN,2022-04-25 03:24:48,41.1231,80.2644,74.01,18,98,3.56
98,Butaritari,KI,2022-04-25 03:24:49,3.0707,172.7902,81.68,77,65,13.09
99,Betioky,MG,2022-04-25 03:24:49,-23.7167,44.3833,69.19,74,100,7.45
100,Waipawa,NZ,2022-04-25 03:23:10,-41.4122,175.5153,57.88,58,63,1.7
101,Ravar,IR,2022-04-25 03:24:50,31.2656,56.8055,75.74,22,73,3.6
102,Kahului,US,2022-04-25 03:24:50,20.8947,-156.47,78.82,69,100,25.32
103,Katsuura,JP,2022-04-25 03:24:51,35.1333,140.3,70.14,68,19,4.36
104,Mahebourg,MU,2022-04-25 03:20:36,-20.4081,57.7,75.25,75,31,16.44
105,Yarmouth,US,2022-04-25 03:24:52,41.7057,-70.2286,46.54,72,100,1.99
106,Vihari,PK,2022-04-25 03:24:53,30.0333,72.35,92.21,14,85,6.89
107,Castro,BR,2022-04-25 03:24:53,-24.7911,-50.0119,58.23,97,2,5.03
108,Labuhan,ID,2022-04-25 03:24:54,-6.8844,112.2051,85.23,70,60,3.87
109,Kruisfontein,ZA,2022-04-25 03:24:54,-34.0033,24.7314,53.89,79,98,6.38
110,Sabha,LY,2022-04-25 03:24:55,27.0377,14.4283,68.34,18,69,12.8
111,Bay Saint Louis,US,2022-04-25 03:24:55,30.3088,-89.33,75.02,91,1,12.35
112,Atuona,PF,2022-04-25 03:20:59,-9.8,-139.0333,78.89,77,24,18.63
113,Tiksi,RU,2022-04-25 03:24:56,71.6872,128.8694,7.21,91,95,3.67
114,Soyo,AO,2022-04-25 03:24:56,-6.1349,12.3689,77.32,91,99,6.26
115,Ondangwa,NA,2022-04-25 03:24:57,-17.9167,15.95,66.65,39,0,8.39
116,Namibe,AO,2022-04-25 03:24:58,-15.1961,12.1522,68.99,85,1,4.32
117,Road Town,VG,2022-04-25 03:24:58,18.4167,-64.6167,75.29,72,17,18.23
118,Nadym,RU,2022-04-25 03:24:59,65.5333,72.5167,15.91,84,49,1.63
119,Bredasdorp,ZA,2022-04-25 03:24:59,-34.5322,20.0403,57.24,69,89,4.12
120,Bandarbeyla,SO,2022-04-25 03:20:36,9.4942,50.8122,81.5,71,52,6.73
121,Del Rio,US,2022-04-25 03:21:49,29.3627,-100.8968,86.11,46,0,11.5
122,Port Lincoln,AU,2022-04-25 03:25:01,-34.7333,135.8667,67.6,68,86,15.41
123,Chuy,UY,2022-04-25 03:25:01,-33.6971,-53.4616,64.72,64,2,12.77
124,Mayumba,GA,2022-04-25 03:25:02,-3.432,10.6554,77.36,90,100,4.07
125,Campos Gerais,BR,2022-04-25 03:25:02,-21.235,-45.7586,62.31,87,4,6.06
126,Ostersund,SE,2022-04-25 03:25:03,63.1792,14.6357,34.61,80,77,10.36
127,Mwense,ZM,2022-04-25 03:25:03,-10.3845,28.698,63.72,96,64,2.8
128,Inhambane,MZ,2022-04-25 03:25:04,-23.865,35.3833,73.89,88,4,4.9
129,Erzin,TR,2022-04-25 03:25:04,36.9559,36.2,67.12,51,2,2.98
130,Margate,GB,2022-04-25 03:25:05,51.3813,1.3862,47.7,83,0,8.01
131,Sobolevo,RU,2022-04-25 03:20:58,54.4299,31.8996,45.16,87,99,10.87
132,Saint-Georges,GD,2022-04-25 03:25:05,12.0564,-61.7485,80.28,74,40,11.5
133,Victoria,HK,2022-04-25 03:24:21,22.2855,114.1577,86.97,73,6,8.99
134,Los Llanos De Aridane,ES,2022-04-25 03:26:06,28.6585,-17.9182,62.35,77,40,6.91
135,Longyearbyen,SJ,2022-04-25 03:23:21,78.2186,15.6401,6.64,72,75,12.66
136,Tasiilaq,GL,2022-04-25 03:26:07,65.6145,-37.6368,24.96,67,72,2.26
137,Gornyak,RU,2022-04-25 03:26:07,50.9942,81.4661,40.12,46,85,10.69
138,Buta,CD,2022-04-25 03:26:08,2.7858,24.73,70.99,98,100,3.44
139,Beyneu,KZ,2022-04-25 03:26:08,45.3167,55.2,52.59,54,2,12.75
140,Saint George,US,2022-04-25 03:23:31,37.1041,-113.5841,64.99,15,0,11.5
141,Mehamn,NO,2022-04-25 03:26:09,71.0357,27.8492,31.95,80,75,3.44
142,Salinas,US,2022-04-25 03:24:39,36.6777,-121.6555,61.41,70,0,10.36
